group,bad_word,count,freq,score,normalized_score
White Woman,crack,7,2.912043797138709e-05,0.22398533,6.522550908765668e-06
Black Woman,crack,1,1.1808327232364264e-05,0.22398533,2.6448920718890966e-06
White Man,addict,3,8.179111639421138e-06,0.2723374,2.2274779981896904e-06
Black Man,addict,1,7.464301975800733e-06,0.2723374,2.0328085929044348e-06
White Woman,addict,3,1.2480187702023038e-05,0.2723374,3.398821870280929e-06
Black Woman,addict,4,4.7233308929457055e-05,0.2723374,1.2863396547245118e-05
White Man,suck,9,2.453733491826341e-05,0.90993845,2.2327464502655484e-05
Black Man,suck,3,2.23929059274022e-05,0.90993845,2.0376166110576167e-05
White Woman,suck,3,1.2480187702023038e-05,0.90993845,1.1356202653287905e-05
Black Woman,suck,1,1.1808327232364264e-05,0.90993845,1.0744850978910327e-05
White Man,colored,3,8.179111639421138e-06,0.114878416,9.396033894238634e-07
Black Woman,colored,1,1.1808327232364264e-05,0.114878416,1.3565219280636706e-06
White Man,knife,8,2.18109643717897e-05,0.39649704,8.647982812960076e-06
Black Man,knife,2,1.4928603951601466e-05,0.39649704,5.919147278142285e-06
Black Woman,knife,2,2.3616654464728527e-05,0.39649704,9.363933589967645e-06
